 
1000
EC SET stats,        1.913624, 28.205992, 4.24791, 1.5202397, 4.559051, 5.8118475, 6.890645, 10.7676935
EC GET stats,        1.907044, 39.918845, 4.0344882777, 1.60427, 4.32507050, 5.4097241, 6.305002, 10.1865975
MK SPLIT SET stats,  1.099, 15.225871999999999, 2.0375118, 0.911389, 2.146735, 2.898089, 3.6891540000000003, 5.808085
MK SPLIT GET stats,  0.7367269999999999, 13.546172, 1.5735879959999994, 0.7135940546403159, 1.644895, 1.9820800000000003, 2.458106, 4.605184
MK SET stats,        1.067957, 16.878933, 2.033694543600007, 0.8858066713490471, 2.176834, 2.794731, 3.5945579999999997, 5.560398
MK GET stats,        0.762311, 15.834933999999999, 1.7482447522000024, 0.8134693768769289, 1.8623120000000002, 2.274529, 2.780583, 5.2294350000000005

10000
EC SET stats,  1.939514, 28.419408999999998, 4.031179792441514, 1.5635303492614925, 4.316445, 5.3577395, 6.4186065, 10.5517735
EC GET stats,  2.014053, 22.717354, 4.353933557688468,, 1.4976027216942556, 4.669978, 5.8743815, 6.9935015, 10.5767655
MK SPLIT SET stats,  1.1275339999999998, 15.333340000000002, 2.298118952999995, 1.121454121043995, 2.53362, 3.399512, 4.372504999999999, 6.864086
MK SPLIT GET stats,  0.8613460000000001, 15.587968, 1.9813387868000039, 0.8984995441361056, 2.1881880000000002, 2.742142, 3.252021, 6.060371999999999
MK SET stats,  1.234721, 27.918587000000002, 2.641970904799997, 1.5589153900286186, 3.055081, 4.535461, 5.6504579999999995, 7.952253
MK GET stats,  0.878053, 22.423678, 2.412050574000002, 1.1922040625310986, 2.831386, 3.724119, 4.502883, 6.9363589999999995

50000
EC  SET stats,  1.738617, 43.669429, 3.712382029394127, 1.5144314686951594, 3.8720725, 5.0977285000000006, 6.130624, 9.278795
EC GET stats,  ,2.2687, 41.622061, 4.578250873825226, 1.9800883837251526, 4.861404, 5.9908885, 7.0616945, 12.1493885
MK SPLIT SET stats,  1.318013, 46.790283, 3.476632947199997, 2.705807303373169, 4.146295, 5.942614, 7.625528, 14.718899
MK SPLIT SET stats,  1.318013, 46.790283, 3.476632947199997, 2.705807303373169, 4.146295, 5.942614, 7.625528, 14.718899
MK SET stats,  2.036067, 120.754123, 8.873714739999986, 6.5087815576975885, 10.858146000000001, 15.815282999999999, 20.406584, 33.492784
MK  GET stats,  1.2662909999999998, 27.091344, 3.0141286561999987, 1.9638603107723398, 3.362236, 5.218995, 6.63644, 10.676576

100000
EC SET stats,  1.9344169999999998, 21.080514, 3.8834499168166254, 1.5618878599681942, 4.0416965, 5.3623815, 6.495597999999999, 10.888362
EC GET stats,  2.349577, 28.140463, 4.6412943759248115, 1.8561866562227383, 4.849776, 6.3392265000000005, 7.906273, 12.952910500000002
MK SPLIT SET stats,  1.6287369999999999, 64.11217900000001, 6.195628006000005, 5.189980564149488, 7.171686, 11.411683, 15.775331, 27.942406
MK SPLIT GET stats,  1.125713, 31.336937000000002, 2.8754701078, 1.7789470658284887, 3.205266, 4.804126, 5.92666, 9.126633
MK SET stats,  3.513179, 131.246251, 16.954398219799984, 10.566867548013327, 20.433702, 29.468933, 36.057628, 55.792099
MK GET stats,  1.822038, 42.714817000000004, 5.661385019599995, 3.6293948477043747, 6.672359999999999, 9.567072, 11.956971000000001, 20.080451

250000
EC SET stats,  2.2994399999999997, 30.519382, 4.193169160367919, 1.6647956803738753, 4.381826, 5.7320645, 7.015323500000001, 10.9929735
EC GET stats,  2.398829, 31.020181, 4.98824683183364, 2.028326920216698, 5.234154, 6.6989350000000005, 8.111029, 13.2693105
MK SPLIT SET stats  2.985009 92.899181 14.257090955799985 8.629931474563802 [17.384873 24.657360999999998 30.238133 46.97551300000001]
MK SPLIT GET stats,  1.5842740000000002, 45.596461, 5.135744249000005, 3.153089866377076, 6.165547, 8.845668, 10.869798999999999, 16.816274
MK SET stats,  6.755059, 330.076931, 39.098612391400046, 26.273793721297245, 49.817275, 72.010292, 87.753045, 130.81187799999998
MK GET stats,  2.909342, 148.79252300000002, 11.464992081000004, 7.544549117094122, 13.703721999999999, 19.517268, 24.607269000000002, 37.726237000000005


500000
EC SET stats  2.431196 37.158643999999995 4.895409672265544 2.226940383839568 [5.1245315 6.802057 8.672525 13.9933455]
EC GET stats  3.0135370000000004 26.557731 5.522241222955391 1.9439206637723492 [5.8462325 7.515117 9.0891375 13.425793]
MK SPLIT SET stats  5.978363000000001 200.754703 29.02005028240002 19.057751124638777 [35.48346 51.908912 65.74428 103.639883]
MK SPLIT GET stats  2.304151 99.322721 9.509113544199986 6.012476335897065 [11.501133 15.935342000000002 19.94197 31.74057]
MK SET stats  16.920746 485.25237300000003 90.22275949020003 53.835804895816416 [115.184486 158.763615 191.44356000000002 272.12791]
