processedtransactionid,acceptorcountrycode,acceptorpostalcode,acceptorstatecode,acceptorstreetaddress,authdate,authday,authenticationindicator,authenticationvalue,authhour,authmonth,authorizationtype,authresult,authtimestamp,authweekofyear,authyear,avs_rslt,brandcardtype,brandcategory,brandcode,branddescription,card_brnd_tr,cardbrand,cardbrand_bindb,cardcommercial,cardexpirymonth,cardexpiryyear,cardissuetype,cardissuetypeid,cardprepaid,cardproduct_bindb,cardschemaid,cardschemaname,cardsubtype,cardsubtypeid,cardtype,cardtype_bindb,cardusage,cardusageid,categorycodegroup,channel,channelname,channelsubtype,channelsubtypename,country_mid,countryid,countryname,cv2_rslt,cvvresponse,cvvresult,ddresult,detailedcode,transactiontype,detailedmessage,eci_sli,effectivedwoindicator,ext_rc,firstsixdigits,fraudflag,fraudimportdate,fraudreportdate,initialrecurring,int_rc,internalamount,iscommercial,isprepaid,isprivatelabel,issuercode,issuercountry,issuercountrycode,issuerid,memberid,originalamount,originalcurrencyid,parenttransactionid,pos_mode,processorid,productcode,productdescription,productsubcode,recurringpayments,reg,resp_code,servicetypeid,servicetypename,submerchantid,threedsecureenrollmentid,threedxid,ucaf_ind,use3dsecure,vbv_rslt,avsthere,cv2there,expthere,threedthere,cb_flag,fraud_related_cb_flag,doublelabel_cb,timestamp,cardexpirydate,submerchant,timestamp_unix,euramount,threedsused,recurring,cvvused,cardprivate,pinaccess,signatureaccess,diffcardexpirydate,diffcardexpirydatebucketed,difffirsttimestampmerch,diffprevtimestampmerch,avginternalamountmerch,stddevinternalamountmerch,avgdiffprevtimestampmerch,stddevdiffprevtimestampmerch,fraudratiomerch,difffirsttimestampmcc,diffprevtimestampmcc,avginternalamountmcc,stddevinternalamountmcc,avgdiffprevtimestampmcc,stddevdiffprevtimestampmcc,fraudratiomcc,difffirsttimestampcard,diffprevtimestampcard,avginternalamountcard,stddevinternalamountcard,avgdiffprevtimestampcard,stddevdiffprevtimestampcard,fraudratiocard,difffirsttimestampcountry,diffprevtimestampcountry,avginternalamountcountry,stddevinternalamountcountry,avgdiffprevtimestampcountry,stddevdiffprevtimestampcountry,fraudratiocountry,avginternalamountmerch50,stddevinternalamountmerch50,avgdiffprevtimestampmerch50,stddevdiffprevtimestampmerch50,dispAvgInternalamountmerch50,dispAvgprevtsdiffmerch50,avginternalamountmcc50,stddevinternalamountmcc50,avgdiffprevtimestampmcc50,stddevdiffprevtimestampmcc50,dispAvgInternalamountmcc50,dispAvgprevtsdiffmcc50,avginternalamountcard50,stddevinternalamountcard50,avgdiffprevtimestampcard50,stddevdiffprevtimestampcard50,dispAvgInternalamountcard50,dispAvgprevtsdiffcard50,avginternalamountcountry50,stddevinternalamountcountry50,avgdiffprevtimestampcountry50,stddevdiffprevtimestampcountry50,dispAvgInternalamountcountry50,dispAvgprevtsdiffcountry50,bool2x_Avginternalamountcard50,bool2x_curr_Avginternalamountcard,bool2x_Avgdiffprevtimestampcard50,bool2x_Avginternalamountmerch50,bool2x_curr_Avginternalamountmerch,bool2x_Avgdiffprevtimestampmerch50,bool2x_Avginternalamountmcc50,bool2x_curr_Avginternalamountmcc,bool2x_Avgdiffprevtimestampmcc50,bool2x_Avginternalamountcountry50,bool2x_curr_Avginternalamountcountry,bool2x_Avgdiffprevtimestampcountry50,cardaccess,acceptorcountry,processor,digitalwalletoperator,avsused,avsresult,eci,cavvresult,ucafindicator,currency,cardcountry,posentrymode,mcccode,merchantcountry,midcountry,threedsused_index,initialrecurring_index,recurring_index,acceptorpostalcode_index,cvvused_index,cardprepaid_index,cardcommercial_index,cardprivate_index,pinaccess_index,signatureaccess_index,bool2x_Avginternalamountcard50_index,bool2x_curr_Avginternalamountcard_index,bool2x_Avgdiffprevtimestampcard50_index,bool2x_Avginternalamountmerch50_index,bool2x_curr_Avginternalamountmerch_index,bool2x_Avgdiffprevtimestampmerch50_index,bool2x_Avginternalamountmcc50_index,bool2x_curr_Avginternalamountmcc_index,bool2x_Avgdiffprevtimestampmcc50_index,bool2x_Avginternalamountcountry50_index,bool2x_curr_Avginternalamountcountry_index,bool2x_Avgdiffprevtimestampcountry50_index,transactiontype_index,cardaccess_index,channel_index,channelsubtype_index,acceptorcountry_index,acceptorstatecode_index,processor_index,cvvresult_index,ddresult_index,digitalwalletoperator_index,avsused_index,avsresult_index,eci_index,cavvresult_index,ucafindicator_index,currency_index,cardbrand_index,brandcardtype_index,cardcountry_index,cardtype_index,posentrymode_index,mcccode_index,merchantcountry_index,midcountry_index,prediction,prob1,prob2,rawpred1,rawpred2,rank
1937201033,826,EC2Y 9DT,"",1 Fore Street,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:43,31,2019,"",Visa,Visa,028,Visa Business,Visa Business,2,VISA,true,6,2021,Credit,1,false,BUSINESS,2,Visa,CLASSIC,3,Visa,CREDIT,"","",5734,4,Recurring,"","",United Kingdom,36,Australia,"","",0,1,00,Payment,Approved,"",0,00,456494,"","","","","",43.046708,true,false,false,"",Australia,36,456450,5008293,48.000000,840,"",102,21,G,Visa Business,"",true,Foreign - REST,Transaction approved,1,Credit,"","","",0,true,"",0,0,1,1,"","",0.0,2019-08-01T00:00:43.000Z,2021-06-30,none,1564617643,43.046708,true,true,false,false,none,none,699,2,212,90,71.3955371706,254.37273822412834,55.94100958029336,80.47017302562251,0.012719679464077505,212,90,61.4755761207,225.60013859770814,45.75942890690383,63.92914321898297,0.011536044094183628,210,1285230,42.3775615000,0.3349461177901106,1099880.3125,1310619.6938074608,0.0,212,1,36.0628078249,122.19489997095097,5.084027670416397,7.275579637839962,0.005907451180179134,118.57809634,193.033088985714,143.12,166.03781718239335,0.18548591133939582,1.0833702369690192,104.04597172,187.8087278024296,126.54,125.26074193213033,0.18869844612645317,1.2635953968034626,42.3775615,0.3349461177901106,1099880.3125,1310619.6938074608,0.0,0.0,37.63889296,50.68566988764562,4.64,5.00106111189395,0.01289812533481086,-0.061029868755340035,false,false,false,false,false,true,false,false,true,false,false,false,none,826,21,none,false,none,none,none,0,840,036,102,5734,036,826,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,14.0,4.0,0.0,0.0,0.5764699,0.42353007,0.15414931,-0.15414931,104
1937201021,196,2028,"","Dositheou 42, Strovolos",2019-08-01,1,4,AAAABjMQEjA5UnJQxRASAAAAAAA=,0,8,"",0,2019-08-01 00:00:43,31,2019,"",Visa,Visa,067,Visa Gold,VISA.,25,VISA,false,10,2021,Credit,1,false,GOLD,2,Visa,CLASSIC,3,Visa-Carte Bancaire,CREDIT,TRUE CREDIT (NO PIN/SIGNATURE CAPABILITY),6,7995,1,ECOM,"","",Cyprus,250,France,M,M,1,1,00,Payment,Approved,05,0,00,497278,"","","","","",50.000000,false,false,false,6671,France,250,497985,5007475,50.000000,978,"",812,21,P,Visa Gold,"",true,Foreign - EMEA,Transaction approved,1,Credit,"",83448140,R25zVmRYTFpRMnZrU3BkaWpHcDA=,0,true,2,0,1,1,1,"","",0.0,2019-08-01T00:00:43.000Z,2021-10-31,none,1564617643,50.0,true,true,true,false,false,false,822,2,212,19,54.5664672047,68.03509989371973,25.14972540297114,35.68037891511522,4.4172335449716045E-4,212,2,46.8646247198,149.40955948503554,1.1172710355006468,2.391878024091809,0.0023676831909992613,212,6704,108.7605633803,72.17083170391102,53537.140845070426,59134.0594841598,0.0,212,4,52.8763893113,102.76956628558787,4.515619842188057,7.034576992717315,0.0,59.9,58.36627835471088,28.8,33.06703148800284,0.07839384087965948,0.1023048159245445,53.16254242,78.20331008400137,1.38,1.6021669000170373,0.04215203981530235,0.10984212482955134,89.7,56.51810257224978,50060.14,47501.78892013071,-0.2641034186566965,-0.05879861581296999,73.39107934,93.0654065916194,5.04,5.118832775115029,0.1996183380952628,0.07454323953733363,false,false,false,false,false,false,false,false,false,false,false,false,none,196,21,none,false,none,05,2,0,978,250,812,7995,250,196,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8768198,0.123180225,0.98132646,-0.98132646,105
1937201031,826,EC2Y 9DT,"",1 Fore Street,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:43,31,2019,"",Visa,Visa,005,VISA.,"",2,VISA,false,10,2022,Credit,1,false,CLASSIC,2,Visa,CLASSIC,3,Visa,CREDIT,"","",5999,1,ECOM,"","",United Kingdom,840,United States,"","",0,0,00,Capture,Approved,"",0,"",449547,"","","","","",42.194742,false,false,false,"",United States,840,400801,5009559,47.050000,840,1937201019,"",21,A,Visa Traditional,"",true,"","",1,Credit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:43.000Z,2022-10-31,none,1564617643,42.194742,true,true,true,false,none,none,1187,3,212,359,59.9066239956,131.33132728077084,118.78215137995434,159.95981311952937,0.01040011125238398,212,19,72.6321669952,349.00999651535,18.574786916333288,29.739872752284015,0.003149918138874032,0,742956,42.1947420000,0.0,742956.0,0.0,0.0,212,0,51.7022505523,481.1404004486495,2.940805871038799,4.268653484358753,0.0,50.85118564,44.74806060702441,136.74,143.7831147305992,-0.06895109143487561,0.11226475118864218,72.34189418,155.92030642018807,33.42,28.43186628429733,-8.317034414434928E-4,0.49916868196843933,42.194742,0.0,0.0,0.0,0.0,0.0,72.38214288,117.47776489201195,2.08,2.1365621823817045,0.0429809932992877,-0.20165747212627433,false,false,false,false,false,false,false,false,false,false,false,false,none,826,21,none,false,none,none,none,none,840,840,none,5999,840,826,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.7312595,0.2687405,0.5005111,-0.5005111,106
1937201041,"","","","",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:44,31,2019,"",MasterCardDebit,Mastercard,010,MasterCard,"",1,MASTERCARD,false,2,2024,Debit,2,false,STANDARD,1,MasterCard,CIRRUS,65,MasterCard,DEBIT,"","",5968,"","","","",United States,840,United States,"","","","",00,Payment,APPROVAL,"","","",517546,"","","","","",0.887838,false,false,false,"",United States,840,0013007,5012737,0.990000,840,"","",6,MDJ,Debit Mastercard (Enhanced),MDJ,true,"","",2,Debit,"","","","",false,"","","","","","","",0.0,2019-08-01T00:00:44.000Z,2024-02-28,none,1564617644,0.887838,false,true,true,false,none,none,1672,3,212,11,9.7620352712,19.542117306673042,28.068086606089395,82.20409652860421,0.0,212,11,17.7676018484,1338.6013180696532,27.91254484000841,76.24189543359456,3.047758373716132E-6,153,122435,25.5001887368,62.8724161317496,728246.0,894616.5982478502,0.0,212,1,51.7022490259,481.14036183987855,2.940805398888761,4.26865330432918,0.0,5.45214246,7.5009885376084275,27.34,23.510839879441455,-0.22054380001742707,-0.0088570598891753,5.45214246,7.5009885376084275,27.34,23.510839879441455,-0.009200244480679028,-0.007509582976030403,25.5001887368,62.8724161317496,728246.0,894616.5982478502,0.0,0.0,69.18574546,116.19594651278824,2.02,2.13321640836038,0.03633762166043022,-0.21571332531384055,false,false,false,false,false,false,false,false,false,false,false,false,none,none,6,none,false,none,none,none,none,840,840,none,5968,840,840,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.77167183,0.2283282,0.6088877,-0.6088877,107
1937201045,826,W1F 8BH,"","Medius House, 2 Sheraton Street",2019-08-01,1,2,0700010032593381017680399659330000000000,0,8,"",0,2019-08-01 00:00:45,31,2019,"",Visa,Visa,005,VISA.,VISA.,2,VISA,false,8,2021,Credit,1,false,CLASSIC,2,Visa,CLASSIC,3,Visa,CREDIT,TRUE CREDIT (NO PIN/SIGNATURE CAPABILITY),6,6211,1,ECOM,"","",United Kingdom,392,Japan,M,M,1,3,00,Payment,Approved,06,0,00,420529,"","","","","",908.762246,false,false,false,8319,Japan,392,420503,5011931,110000.000000,392,"",812,21,F,Visa Classic,"",false,Foreign - REST,Transaction approved,1,Credit,"","",1b886dc3be5a47ea866ab240c954b1a600000000,0,true,C,1,1,1,1,"","",0.0,2019-08-01T00:00:45.000Z,2021-08-31,none,1564617645,908.762246,true,false,true,false,false,false,761,2,212,4,258.4196947309,607.8567600373271,65.18927511053835,422.5076982582574,4.335463732039438E-5,212,4,387.7843414730,1062.7051636113763,40.903859294956256,101.95288303207997,0.0024353561050099223,146,167110,206.3473118378,305.208468498978,118368.95495495496,194027.44487700172,0.0,212,3,158.1307899613,455.4717581837538,5.387511456273214,9.02080068244655,0.0011947868346433312,266.85472902,456.80157852823515,23.64,20.673121660350997,0.013876680895318162,-0.09833968773071064,300.52063572,436.27285371693534,20.82,17.452781779324884,-0.0821146906414315,-0.19699157785108218,218.04082712,283.44411911677184,129665.92,219585.09885141408,0.03831320716528268,0.05822354178918574,135.58063942,219.72677983310626,7.16,5.9739570859946864,-0.049509437492285605,0.19648904860250896,false,true,false,false,true,false,false,true,false,false,true,false,none,826,21,none,true,none,06,c,0,392,392,812,6211,392,826,0.0,0.0,0.0,2273.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,19.0,5.0,0.0,0.0,0.85083103,0.14916895,0.87056696,-0.87056696,108
1937201063,826,NW10 7PN,"","Suite 617, Crown House, North Circular Road",2019-08-01,1,"","",0,8,0,0,2019-08-01 00:00:45,31,2019,"",MasterCard,Mastercard,032,MC Comm/Bus,MC Comm/Bus,1,MASTERCARD,false,11,2022,Debit,2,false,BUSINESS,1,MasterCard,CIRRUS,65,MasterCard,DEBIT,"","",5699,1,ECOM,"","",United Kingdom,840,United States,M,M,1,1,00,Payment,Approved,21,0,00,519667,"","","","","",25.854929,true,false,false,"",United States,840,0012301,5015851,28.830000,840,"",812,21,MDB,Debit Mastercard BusinessCard Card,MDB,false,Foreign - MASTER,Transaction approved,1,Credit,"","","",0,true,"",0,1,1,1,"","",0.0,2019-08-01T00:00:45.000Z,2022-11-30,none,1564617645,25.854929,true,false,true,false,none,none,1217,3,212,33,58.1784456759,57.89505355175163,234.5298388026068,356.0132823360615,0.0036478261731527923,212,33,69.4771115891,126.10112262390777,66.196114996115,83.80906621599783,0.00423466717419232,0,742956,25.8549290000,0.0,742956.0,0.0,0.0,212,1,51.7022408676,481.1403236468453,2.9408050872900913,4.268653032496811,0.0,62.46848604,75.71574778043784,68.88,63.31574263408843,0.07410029183693889,-0.46529117597989045,75.13945372,78.26926928335568,43.3,39.12317023171297,0.04490318573759046,-0.27319377282054114,25.854929,0.0,0.0,0.0,0.0,0.0,69.12834984,116.22962854490326,2.02,2.1332164083603797,0.03621835068887447,-0.2157132660537406,false,false,false,false,false,false,false,false,false,false,false,false,none,826,21,none,false,none,none,none,0,840,840,812,5699,840,826,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.5966327,0.4033673,0.19572707,-0.19572707,109
1937201059,196,2028,"","Dositheou 42, Strovolos",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:45,31,2019,"",VisaElectron,Visa,007,VISA Electron,VISA Electron,15,VISA,false,4,2022,Debit,2,false,ELECTRON,2,Visa,ELECTRON,5,VisaElectron,DEBIT,NON USA CONSUMER DEBIT - NO PIN ACCESS,9,7995,1,ECOM,"","",Cyprus,250,France,"","",0,1,00,Payment,Approved,07,0,00,497831,"","","","","",30.000000,false,false,false,8233,France,250,402102,5007475,30.000000,978,"",102,21,L,Visa Electron,"",true,Foreign - EMEA,Transaction approved,2,Debit,"","","",0,true,"",0,0,1,1,"","",0.0,2019-08-01T00:00:45.000Z,2022-04-30,none,1564617645,30.0,true,true,false,false,false,none,1003,2,212,2,54.5664609350,68.03505339852144,25.149716959501113,35.68035514843333,4.4172335449716045E-4,212,2,46.8646249111,149.40955493029472,1.1172710893442255,2.3918779610789955,0.0023676831909992613,122,4768,36.2668918919,32.814915284239454,18926.118243243243,45802.570988503394,0.0,212,2,52.8763886022,102.76955362776222,4.515619715073756,7.03457613026847,0.0,60.5,58.10133652612863,28.84,33.05367311090326,0.0872129699119035,0.10342618578618384,53.54527218,78.13875132985484,1.4,1.6035674514745457,0.04471365483965717,0.11820373583284037,36.2,15.634864233239655,14870.12,27648.19745878563,-0.0020384599905435828,-0.08855394262172123,67.85107934,85.60617029705233,5.06,5.112649379086091,0.14571135330644003,0.07738636626361564,false,false,false,false,false,false,false,false,false,false,false,false,none,196,21,none,false,none,07,none,0,978,250,102,7995,250,196,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,0.86757195,0.13242804,0.9398296,-0.9398296,110
1937201071,826,EC2Y 9DT,"",1 Fore Street,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:47,31,2019,"",Visa,Visa,028,Visa Business,"",2,VISA,true,11,2021,Credit,1,false,BUSINESS,2,Visa,CLASSIC,3,Visa,CREDIT,"","",7399,4,Recurring,"","",United Kingdom,356,India,"","",0,0,00,Capture,Approved,"",0,"",410202,"","","","","",3.829363,true,false,false,"",India,356,447748,5008305,4.270000,840,1937201067,"",21,G,Visa Business,"",true,"","",1,Credit,"","","","",true,"","","","","","","",0.0,2019-08-01T00:00:47.000Z,2021-11-30,none,1564617647,3.829363,true,true,true,false,none,none,852,2,212,15,190.5369439500,645.6098163625577,92.9713080639922,184.89718101135145,0.007784761446007785,212,7,115.4219541588,486.49075261741416,30.36827602671932,44.468092856656014,0.006461138257109713,92,7931551,224.1617250000,0.0,742956.0,0.0,0.0,212,24,59.6409412774,146.14680450548812,57.38864189640101,93.8774869320739,0.006395199133994398,145.50505312,205.55396261657384,159.28,224.53289745784767,-0.06975093886229146,0.3586246776360365,131.4469405,246.43225921665845,55.58,72.26795095126108,0.03293996084197384,0.5669621149382611,224.161725,0.0,742956.0,0.0,0.0,0.0,80.8808398,177.94466807467938,144.04,157.39109743254355,0.1453326235525211,0.9230259664523885,false,false,false,false,false,false,false,false,false,false,false,true,none,826,21,none,false,none,none,none,none,840,356,none,7399,356,826,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,15.0,1.0,0.0,12.0,16.0,0.0,0.0,0.6000215,0.3999785,0.20277736,-0.20277736,111
1937201075,826,M4 6JP,"",36 Butler Street,2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:47,31,2019,"",Visa,Visa,005,VISA.,VISA.,2,VISA,false,7,2023,Credit,1,false,CLASSIC,2,Visa,CLASSIC,3,Visa,CREDIT,TRUE CREDIT (NO PIN/SIGNATURE CAPABILITY),6,7273,2,MOTO,1,MailOrder,United Kingdom,392,Japan,"","",0,0,00,Payment,Approved,"",0,00,498001,"","","","","",25.774217,false,false,false,12851,Japan,392,498000,5012449,28.740000,840,"",012,21,F,Visa Classic,"",false,Foreign - REST,Transaction approved,1,Credit,"","","",0,false,"",0,0,1,1,"","",0.0,2019-08-01T00:00:47.000Z,2023-07-31,none,1564617647,25.774217,false,false,false,false,false,false,1460,3,212,148,12.9868271358,12.410556404420081,165.3998338540444,344.4495926121996,4.550584295023481E-5,212,15,29.6528069661,57.11276402522084,7.896654344006984,11.269037157807189,0.0070948720365109925,211,324659,12.9742172400,11.396133482662373,743555.04,649486.0135500404,0.0,212,2,158.1310107427,455.4718731276003,5.3875107540402105,9.020799448741943,0.0011947868346433312,14.6136402,7.6222566465079,512.74,565.3907014676863,0.13108300798025482,1.0083918622514105,20.12513116,20.073534922030504,9.44,12.57493457604598,-0.16682218009782554,0.13695452720410867,12.97421724,11.396133482662373,743555.04,649486.0135500404,0.0,0.0,148.27026496,244.7920282034615,7.1,6.000850279888064,-0.02164951639052698,0.18983785812892845,false,false,false,false,false,true,false,false,false,false,false,false,none,826,21,none,false,none,none,none,0,840,392,012,7273,392,826,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,0.0,0.8446918,0.15530822,0.8467801,-0.8467801,112
1937201073,826,W1A 6US,"",UNIT 4635 PO BOX 6945,2019-08-01,1,"","",0,8,0,0,2019-08-01 00:00:47,31,2019,S,MasterCard,Mastercard,010,MasterCard,MasterCard,1,MASTERCARD,false,11,2019,Credit,1,false,STANDARD,1,MasterCard,MASTERCARD STANDARD,33,MasterCard,CREDIT,"","",7299,4,Recurring,"","",United Kingdom,578,Norway,"","",0,1,00,Payment,Approved,"",0,00,512688,"","","","","",150.878712,false,false,false,"",Norway,578,0018708,5009561,168.240000,840,"",102,21,MCG,Gold Mastercard Card,MCG,true,Foreign - EEA,Transaction approved,1,Credit,539730,"","",0,true,"",1,0,1,1,"","",0.0,2019-08-01T00:00:47.000Z,2019-11-30,539730,1564617647,150.878712,true,true,false,false,none,none,121,2,212,7,67.3258533589,134.80282378968437,51.1010606542468,110.4385734483507,0.022764649874491474,212,7,96.0072789862,297.40938372904014,36.07165138481898,66.62718345220534,0.014997727617027723,211,112254,126.0366667642,81.1572908790695,177368.72641509434,200385.05151858358,0.0,212,67,77.6694796487,237.71730635127406,96.52445695133905,145.39375821745512,0.0025018958666865434,103.0063625,87.5229393038256,190.68,213.9576002246183,0.2646866596560895,1.2638603975723277,174.88986246,261.5317697304153,79.94,101.11973303051815,0.26523232886850434,0.6584151744407708,116.52140208,81.52104985192115,169371.26,213013.58617624774,-0.11724473033948937,-0.03991049409368068,79.82471242,192.26623448958117,130.96,132.29959199036227,0.009066368807474254,0.23684333819308917,false,false,false,false,true,true,false,false,true,false,false,false,none,826,21,none,true,s,none,none,0,840,578,102,7299,578,826,0.0,0.0,1.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,2.0,10.0,27.0,0.0,0.0,0.7749629,0.2250371,0.6182749,-0.6182749,113
1937201065,826,NW10 7PN,"","Suite 617, Crown House, North Circular Road",2019-08-01,1,"","",0,8,"",0,2019-08-01 00:00:47,31,2019,"",VisaDebit,Visa,005,VISA.,VISA.,25,VISA,false,10,2020,Credit,1,false,CLASSIC,2,Visa,CLASSIC,3,Visa-Carte Bancaire,DEBIT,TRUE CREDIT (NO PIN/SIGNATURE CAPABILITY),6,5399,1,ECOM,"","",United Kingdom,250,France,M,M,1,1,00,Payment,Approved,07,0,00,453307,"","","","","",47.780000,false,false,false,13473,France,250,497985,5015791,47.780000,978,"",812,21,F,Visa Classic,"",false,Foreign - EMEA,Transaction approved,2,Debit,"","","",0,true,"",0,1,1,1,"","",0.0,2019-08-01T00:00:47.000Z,2020-10-31,none,1564617647,47.78,true,false,true,false,false,false,457,2,212,240,38.4948689427,50.40036056532514,599.8066481087277,1559.2951889531137,0.0030909626140712392,212,5,59.7723937182,248.3914521443337,16.72095018832512,23.030551797502564,0.0036345028694781396,193,2293786,42.4040000000,24.759657307806176,3012051.0,3154255.7720045466,0.0,212,2,52.8763829626,102.76954158770774,4.515619094905295,7.034575374049909,0.0,27.92289882,26.91462066059234,208.4,214.8819324605007,-0.20975981132113952,-0.25101510662103177,46.65100212,61.36449104407607,14.58,14.887455341011513,-0.05282545548538243,-0.0929613066655782,42.404,24.759657307806176,3012051.0,3154255.7720045466,0.0,0.0,68.05107934,85.50371535866783,5.04,5.122818101994492,0.14765752715214067,0.0745433629198305,false,false,false,false,false,false,false,false,false,false,false,false,none,826,21,none,false,none,07,none,0,978,250,812,5399,250,826,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,0.0,0.8470624,0.15293758,0.8558723,-0.8558723,114
